"movieNm","movieCd"
"철가방 우수氏","20120430"
"달콤씁쓸한 인생 ","20121098"
"비지터","20081818"
"라이프 오브 파이","20128386"
"더블","20121512"
"개들의 전쟁","20121550"
"수목장","20121065"
"외사경찰","20120465"
"살인소설","20120421"
"내가 고백을 하면","20120107"
"심플 라이프","20121095"
"업사이드 다운","20120562"
"모로코","19308006"
"자칼이 온다","20126089"
"밀림의 왕자 레오2","20120942"
"반드시 크게 들을 것 2 : Wild Days","20128609"
"The Group","20121380"
"to be a woman?","20121387"
"바람의 검심","20120363"
"바람에 쓴 편지","20124587"
"리틀 제이콥","20129115"
"도서관 전쟁 : 혁명의 날개","20121611"
"12인의 하숙생","19790004"
"볼케이노: 삶의 전환점에 선 남자","20128886"
"황야의 7인","20108880"
"사이에서","20121602"
"아이디: 에이","20125807"
"브레이킹 던 part2","20126469"
"음치 클리닉 ","20125406"
"엔딩노트","20120941"
"아워 이디엇 브라더 ","20120943"
"남쪽으로 간다","20121072"
"돈 크라이 마미","20124348"
"낮은 목소리 3 : 숨결","20009175"
"밤의 이야기","20125567"
"2012 칸라이언즈","20122026"
"드레곤 레전드","20121785"
"심플 리벤지","20121783"
"트랜짓","20121397"
"평범한 연인들","20080511"
"라 트라비아타","20124373"
"메모리즈","20101180"
"가디언즈","20126407"
"컨빅션","20129727"
"도다리 - 리덕스","20070588"
"범죄의 재구성","20040487"
"영화판","20112795"
"26년","20088506"
"노크","20121454"
"""어느 날, 사랑이 걸어왔다""","20121901"
"굿닥터","20121627"
"당신은 아직 아무것도 보지 못했다","20121862"
"지저스 크라이스트 슈퍼스타","20121821"
"극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」","20128247"
"반창꼬","20124399"
"신의 소녀들","20121823"
"""연소, 석방, 폭발, 대적할 이가 없는""","20122027"
"주먹왕 랄프","20129388"
"간지들의 하루","20126012"
"아녜스의 해변","20120841"
"롤플레이","20126088"
"미워도 다시 한번 2","19698042"
"마린","20121223"
"공중 트라피스","20129469"
"""다시, 뜨겁게 사랑하라!""","20122005"
"헤이츠","20121641"
"유신의 추억-다카키 마사오의 전성시대","20122201"
"나의 PS 파트너 ","20124936"
"시라노","19900246"
"네모난원","20122702"
"더 스토리: 세상에 숨겨진 사랑","20121628"
"신비의 법","20121645"
"브래니멀즈 - 우리들의 숲","20122375"
"원 데이","20112561"
"파리 5구의 여인","20122225"
"웰컴 투 사우스","20125266"
"10일간의 원나잇 스탠드","20122541"
"순진한 유학생","20122576"
"차이나 블루","20122761"
"코메디: 다 웃자고 하는 얘기","20126005"
"타워링","19770107"
"체 게바라 : 뉴맨","20121683"
"프레셔스","20122224"
"저지드레드 3D","20120661"
"태극권 : 무림7대고수전 ","20122654"
"가시꽃","20120104"
"2000-2001 서태지밴드 라이브 콘서트 ‘태지의 화’ ","20122582"
"앤젤스 셰어: 천사를 위한 위스키","20122221"
"더 헌트","20122222"
"안나 카레니나","20122231"
"킵 드로잉","20129947"
"아무르","20122101"
"홀리 모터스","20122223"
"세션 : 이 남자가 사랑하는 법   ","20122232"
"정글번치 : 빙산으로의 귀환","20128079"
"로얄 어페어","20122229"
"엔드 오브 왓치","20121923"
"센티멘트 오브 더 플레시","20121661"
"극장판 파워레인저: 캡틴포스 VS 미라클포스 199 히어로 대결전 ","20122192"
"잠베지아: 신비한 나무섬의 비밀","20126388"
"늑대소년-확장판","20123161"
"사일런트 하우스","20122568"
"코드네임 제로니모","20121244"
"파우스트","20121827"
"마린스키 발레: 호두까기 인형 3D","20122681"
"가문의 영광5 - 가문의 귀환","20128687"
"호빗: 뜻밖의 여정","20125048"
"레미제라블","20128274"
"고양이를 빌려드립니다","20122861"
"리멤버","20121624"
"클라우드 아틀라스","20124024"
"박서방","19600003"
"옥보단2012 : 천하애정비법","20123014"
"미워도 다시 한번(대완결편)","19710232"
"누나","20113231"
"타워","20124039"
"극장판 포켓몬스터 베스트위시「메로엣타의 반짝반짝 음악회」","20123217"
"니코: 산타비행단의 모험","20122523"
"연인들","20081682"
"사랑과 영혼","19900335"
"""마진 콜: 24시간, 조작된 진실""","20122901"
"드래곤 아이즈","20123388"
"아임 낫 데어","20080227"
"아프리카의 여왕","19518011"
"돼지우리","20121035"
"새벽의 7인","19790110"
"전망좋은해변-두여자","20123365"
"말로는 힘들어","20121731"
"고양이를 돌려줘","20121732"
"이빨 두 개","20120753"
"박수건달","20124935"
"플라스틱 섹스","20123363"
"아이다","20123155"
"더 임파서블","20121861"
"마이 리틀 히어로","20126583"
"청출어람","20123066"
"러시안 소설","20127526"
"아라비아의 로렌스","19980230"
"색","20126580"
"사공이 많으니까","20126126"
"로봇 앤 프랭크","20121094"
"잊혀진 꿈의 동굴","20123202"
"베드","20120102"
"뽀로로 극장판 슈퍼썰매 대모험","20123681"
"파이스토리 : 악당상어 소탕작전","20122803"
"밤","20129962"
"""충심, 소소""","20122063"
"빨간머리 앤 : 그린게이블로 가는 길","20122581"
"지슬 - 끝나지 않은 세월2","20120108"
"공정사회","20129786"
"맥시멈 컨빅션","20134121"
"""1999, 면회""","20120112"
"몬스터 호텔","20129156"
"주리","20121086"
"7번방의 선물","20127593"
"서방님 따라서","19718198"
"남자사용설명서","20126087"
"잭 리처","20123333"
"문라이즈 킹덤 ","20123483"
"실버라이닝 플레이북","20123484"
"드래곤 헌터","20123741"
"배꼽","20088318"
"여친남친","20123781"
"장미의 이름","19890174"
"타인의 삶","20070068"
"춤추는 숲","20120424"
"안개마을","19830017"
"레닌그라드: 900일간의 전투","20122801"
"모정에 우는 두 아들","19720151"
"베를린","20124083"
"남쪽으로 튀어","20125990"
"물고기","20119509"
"그 여자 그 남자의 속사정","20123301"
"마마","20123041"
"데드폴","20122865"
"해결사","20134381"
"이터널 선샤인","20050082"
"명탐정 코난:은빛 날개의 마술사","20048799"
"행복한 두더지","20134382"
"분수의 기억을 더듬으며","20134388"
"추억이라 부르는 이름의 노래","20128629"
"분노의 윤리학","20128747"
"러브레터","20000067"
"부도리의 꿈 ","20123221"
"눈의 여왕","20123421"
"청년 민수","20134415"
"골든글러브","20134414"
"해양경찰 마르코","20123644"
"대지","20123664"
"헨리스 크라임","20134001"
"안드레아 세니에 ","20123247"
"내사랑 제제","20134502"
"그것에 반응하는 우리들의 자세","20133965"
"파마하는 날","20133967"
"확률과 통계","20120137"
"비러브드","20134288"
"다이하드: 굿 데이 투 다이","20123387"
"파라노만","20113917"
"뜨개질","20122076"
"로마 위드 러브","20134603"
"삼포가는 길","20100517"
"불륜의 시대","20111087"
"신세계","20124401"
"로버런트","20135275"
"몬스터 주식회사","20010292"
"제제에게 가는 길","20134501"
"잔인한 계절","20101236"
"복서즈 다이아몬드","20122882"
"비스트","20133923"
"더 자이언트","20123821"
"아기기린 자라파","20121455"
"날아라! 호빵맨 극장판: 구하라! 코코링과 기적의 별","20134103"
"해바라기","19820110"
"징기스칸 : 제국의 건설","20134681"
"블랑섹의 기이한모험","20135242"
"호빵맨과 숲속의 보물 : 노래 부르며 함께 놀아요","20134202"
"뒷담화: 감독이 미쳤어요","20120106"
"저수지의 개들 take1. 남한강 (with 윈디 시티)","20101259"
"홍역괴물","20128887"
"라스트 스탠드","20123422"
"스카이포스 3D","20134042"
"헨젤과 그레텔: 마녀 사냥꾼 3D","20133981"
"참을 수 없는 성적유희 감독판","20134004"
"사브리나 ","19548002"
"남부군","19900037"
"레이징 피닉스2 : 여자옹박의 귀환","20135383"
"옴 샨티 옴","20129116"
"더 데이","20129944"
"여행하는 나무","20135503"
"숲을 지켜라","20135504"
"나무","20135505"
"차이니즈 조디악","20122843"
"터치 오브 라이트","20134621"
"키스","20112842"
"노곤한 겨울","20119470"
"단풍맞이 단합대회","20100684"
"생활의 발견","20020080"
"앙상블","20128610"
"비처럼 음악처럼","20125607"
"빌리와 용감한 녀석들 2 ","20133924"
"극장판 나루토 질풍전: 로드 투 닌자","20134244"
"스토커","20120467"
"해운대소녀","20129327"
"밀회","19458005"
"극장전","20050106"
"가족의 나라","20128694"
"철부지 아씨","20100368"
"초대","20128669"
"손님","20111295"
"디지털 삼인삼색 2012: 그레이트 시네마 파티","20128487"
"사이코메트리","20134407"
"겨울의 피아니스트","20122130"
"웃는 남자","20134701"
"누구의 딸도 아닌 해원","20121741"
"벌거숭이","20125247"
"파파로티","20129368"
"스캔들-조선남녀상열지사","20030127"
"아이쿠 아이쿵!","20135970"
"공공예절","20127915"
"잭 더 자이언트 킬러","20123641"
"플라이트","20123603"
"페어리테일: 봉황의 무녀","20134062"
"링컨","20134581"
"안나 볼레나","20135402"
"청춘극장","19750018"
"알렉스 크로스","20134222"
"설인","20129211"
"누구나 제 명에 죽고 싶다","20120105"
"제로 다크 서티","20129262"
"실비","20135502"
"글래디에이터: 로마 영웅 탄생의 비밀 3D","20134102"
"라스트 데이즈","20060105"
"오즈 그레이트 앤드 파워풀","20122625"
"장고:분노의 추적자","20126306"
"호프 스프링즈","20135581"
"지킬 앤 하이드","20134161"
"연애의 온도","20128690"
"지.아이.조 2","20113972"
"극장판: 타이거 앤 버니","20134789"
"아메리카파이: 19금 여배우들","20135941"
"오목어","20126252"
"원피스 극장판 Z","20134983"
"파주","20090667"
"웜 바디스","20135241"
"소명 하늘의 별","20136742"
"영웅 - 샐러멘더의 비밀","20134799"
"생생활활","20136643"
"전장에서 나는","20080184"
"할 수 있는 자가 구하라","20109031"
"가위손","19910242"
"사랑 후에 남겨진 것들","20081462"
"""힘내세요, 병헌씨""","20122123"
"콰르텟","20123521"
"돌핀 : 꿈꾸는 다니엘의 용감한 모험","20135942"
"그녀의 단속반","20127146"
"드림팀","20134141"
"하드보일드 지저스","20100575"
"수쟌느","20110749"
"섀도우 댄서","20122228"
"피치 퍼펙트","20135278"
"마스터 클래스의 산책","20127589"
"좋은 친구들 ","20129117"
"2의 증명","20136546"
"라즈 온 에어","20122080"
"군대에 가고 싶지 않은 마음","20136566"
"바바라","20135545"
"이별","19738119"
"모래가 흐르는 강","20136281"
"콩가루 모녀","20136562"
"""학교, 밖으로""","20136561"
"주님의 학교","20136548"
"후세: 말하지 못한 내 사랑","20135582"
"마이 플레이스","20136567"
"아버지의 이메일","20122124"
"송환","20040520"
"버블아트","20136525"
"우는 여자","20136526"
"청춘유예","20120604"
"컬러드 걸스","20136302"
"울면서 달리기","20136565"
"미스터 컴퍼니","20136558"
"옥화의 집","20122125"
"닭의 마을","20136528"
"어둠 속의 빛 ","20120364"
"매치 포인트","20060082"
"유다의 사자 : 부활절 대모험","20135943"
"런닝맨","20126671"
"할망바다","20126247"
"철의 시대","20136559"
"내가 기억하는 것","20136560"
"우리에겐 교황이 있다","20134462"
"그리고 싶은 것","20122121"
"전설의 주먹","20125333"
"너에게 간다","20126544"
"13달인 어느 해에","20136689"
"초한지: 영웅의 부활","20136342"
"호스트","20134869"
"태아 3D","20136016"
"공공의 적","20020065"
"우린 액션배우다","20080677"
"느린여름","19988647"
"가면과 거울","20137021"
"디테일스","20122226"
"송 포 유","20136138"
"꼬마영웅 경찰차 프로디","20136783"
"브로큰 시티","20135907"
"태양닮은 소녀","19748218"
"극장판 베르세르크: 황금 시대편Ⅲ ? 강림","20136861"
"레옹 ","19950095"
"킬링 소프틀리","20136441"
"깁스를 한 남자 ","20136984"
"발가락이라도 닮을까봐","20122543"
"뚜루","20136985"
"월플라워","20136782"
"바보선언","19840018"
"바보사냥","20080904"
"속 별들의 고향","19780054"
"블랙","20090425"
"바보들의 행진 ","20100265"
"좋은날","20126070"
"플라잉 피그","20122574"
"대상해","20136341"
"노리개","20123201"
"쉐프","20137182"
"나는 시징이 좋아요 - 시징학교","20136789"
"저 여기 살았던 사람인데요","20136791"
"오블리비언","20134181"
"테이크다운","20136202"
"해피 이벤트 ","20122233"
"루드비히","20119668"
"철의 여인","20137644"
"불륜","20122066"
"사랑의 묘약","20136991"
"오염된 자식들","19820068"
"깃발없는 기수","19800049"
"피노키오: 당나귀 섬의 비밀","20120381"
"새 구두를 사야해","20123004"
"긴 이별","20129105"
"유치찬란한 신데렐라","20137102"
"숭시","20137103"
"짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스","20136741"
"닿을 수 없는 곳","20100712"
"러스트 앤 본","20133881"
"헬터 스켈터","20136781"
"뷰티풀 크리처스","20136662"
"에반게리온: Q","20136921"
"테이크 쉘터 ","20122227"
"시저는 죽어야 한다","20134583"
"필부","20137621"
"""글렌, 플라잉 로봇""","20137741"
"마지막 중독","20137222"
"정사 : 두 여자와의 로맨스","20137788"
"4월 이야기","20030272"
"단편영화전-SECTION 5","20137786"
"전국노래자랑","20121549"
"몽정애2-기막힌 상상","20137221"
"125 전승철","20081555"
"그림자 애인","20134041"
"더 데이","20137902"
"몽타주","20122784"
"그 남자의 사랑법","20137541"
"라자르 선생님","20134602"
"에덴의 선택","20137373"
"아이언맨 3","20121621"
"폭풍우 치는 밤에: 비밀 친구","20137422"
"배드 블러드","20136301"
"목격자의 밤","20122064"
"어펜더: 범죄와의 전쟁","20137864"
"니모를 찾아서","20030072"
"도시에서 그녀가 피할 수 없는 것들","20101352"
"소이연","20080814"
"에반게리온: 파","20090811"
"고령화 가족","20120426"
"흑룡강","19768232"
"셰임","20123602"
"문빔베어: 달을 사랑한 작은 곰","20137861"
"스니치","20137082"
"콜렉션","20136621"
"크루즈 패밀리","20135362"
"천하칠검 양가장","20137865"
"이티피 페스티벌 08X09 서태지","20138125"
"남자 대 여자: 섹스가 문제다","20137863"
"에반게리온 : 서(序)","20080017"
"환상속의 그대","20135543"
"슬픔은 그대 가슴에","19990191"
"미나문방구","20128691"
"라운드 업","20121097"
"안드레아 보첼리: 러브 인 포르토피노","20138183"
"사랑의 가위바위보","20137241"
"사랑은 타이핑 중!","20137061"
"009 사이보그 ","20137965"
"길위에서","20126003"
"말하는 건축 시티:홀","20137584"
"후쿠시마의 미래","20138314"
"투티의 바다","20138331"
"달려라 고양이","20129935"
"그 강아지 그 고양이","20137526"
"뜨거운 안녕","20127597"
"누가 만들었을까? ","20138325"
"분노의 질주: 더 맥시멈","20135221"
"대석굴암","20137202"
"잘 먹고 잘 사는 법","20137692"
"어느 비행사에 대한 추억","20135542"
"스타트렉 다크니스","20123329"
"붓다:싯다르타 왕자의 모험","20137721"
"콘돌은 날아간다","20125686"
"전국: 천하영웅의 시대","20137866"
"위대한 개츠비","20136219"
"어디로 갈까요?","20119970"
"노킹 온 헤븐스 도어","19980070"
"비포 미드나잇","20134562"
"""기브 앰 헬, 말론""","20138709"
"대마술사","20134066"
"레바논 감정","20137550"
"디셈버","20127466"
"나도 모르게","20080222"
"데블스 더블","20138563"
"백악관 최후의 날","20137963"
"굿바이 미스터 칩스","20137201"
"""마스크 속, 은밀한 자부심""","20060474"
"달세계여행","20138241"
"폴 다이어리","20138186"
"미스터 빌리:하일랜드의 수호자","20137522"
"저스트 어 이어 ","20137181"
"기념일","20138126"
"껍데기","20100669"
"버크 앤 헤어","20137468"
"아수라","20138838"
"은밀하게 위대하게","20126672"
"무서운 이야기 2","20136058"
"쾌걸 조로리의 대대대대모험","20138350"
"히든서스펙트","20138734"
"공각기동대 S.A.C - Solid State Society","20138441"
"마이 라띠마","20124069"
"자유부인","20100510"
"패밀리","20137706"
"호두","20138102"
"불편한 동행","20138103"
"한 번 뿐인 내 인생","20137809"
"더 이클립스","20138641"
"바람의 소리","20138581"
"미안합니다","20028910"
"백년해로외전","20101323"
"""좋은 놈, 나쁜 놈, 이상한 놈(칸버전)""","20088973"
"창녀의 성적유희","20139043"
"레볼루션 아일랜드","20137525"
"애프터 어스","20137426"
"디아틀로프","20138483"
"""앵두야, 연애하자""","20113835"
"""잔인한 나의, 홈""","20138623"
"겨울잠","20120083"
"따닥","20138696"
"조우","20134417"
"꾸구리 ","20138621"
"친구의 아내를 탐하다","20139042"
"춘정","20138632"
"돌아가는 관람차","20122083"
"더도 말고 덜도 말고","20137713"
"서울집","20138681"
"33리 ","20121721"
"플라멩코 소녀","20137165"
"내가 다 알아서 할게","20138685"
"농담","20138684"
"난장이들","20122464"
"가장자리","20138705"
"스태쉬 하우스","20137862"
"레몬타임","20138636"
"그들 각자의 이별","20138637"
"결혼전.투","20138635"
"마리 크뢰이어","20138605"
"에브리데이","20138347"
"유니버셜 솔저4: 클론의 반란","20139181"
"넌더리","20138693"
"거짓말","20138694"
"전송가","20129511"
"더 콜","20138141"
"홀리","20124043"
"""村, 금가이""","20136527"
"스끼다시 내 인생","20138686"
"호구","20138687"
"극장판 썬더일레븐 GO VS 골판지 전사 W","20138201"
"""아이,애나""","20138543"
"파티51","20137564"
"할매 ","20138683"
"펀치 드렁크 러브","20030060"
"그 여자 ","20121730"
"어쩌면 우리는","20138936"
"내가 같이 있어 줄게","20138933"
"늦여름","20138935"
"너를 위해","20138922"
"졸업여행","20127191"
"십년의 커밍아웃","20129996"
"좋은 사람 생기면...","20129995"
"은행나무 침대","19960059"
"퓨어","20139264"
"빈센트","20138608"
"맨 오브 스틸","20137961"
"셀프헤어컷","20138950"
"검지손가락","20138951"
"벌레","20138949"
"유도리","20126543"
"어느 예술가의 마지막 일주일","20134484"
"코스모폴리스","20138882"
"월드 워 Z","20122122"
"닥터","20120103"
"에바로드","20139422"
"로봇G","20138813"
"버니","20138582"
"장군의 아들","19900042"
"꼭두각시","20138712"
"10 아이템 오어 레스","20068788"
"프랑스 다이어리","20136661"
"섹슈얼 컴펄전","20138402"
"아마존의 눈물","20100141"
"이별계약","20137081"
"꽃미남 연쇄 테러 사건","20070293"
"어페어 투 리멤버","19578015"
"토토의 움직이는 숲","20126253"
"로빈슨 주교의 두 가지 사랑","20138931"
"언디스퓨티드: 1대100의 혈투","20138947"
"미쓰 홍당무","20081391"
"아이 오브 더 스톰","20138181"
"일대종사","20139072"
"더 웹툰: 예고살인","20129114"
"해밀턴2: 살인면허","20138941"
"학교 가는 길","20125001"
"쥬라기 공원","19930176"
"감시자들","20122783"
"카르페디엠","20134485"
"아웃포스트 : 블랙선","20139243"
"7인의 사무라이","19548035"
"화이트 하우스 다운","20137815"
"무민가족의 한여름 대소동","20139490"
"파라다이스 키스","20138861"
"팬텀: 라스트 커맨더","20139403"
"이코키-로스트","20129946"
"""안녕, 엄마""","20129924"
"당신이 버린 개에 관한 이야기 ","20138401"
"홈 스윗 홈","20129941"
"천국과 지옥","20139363"
"악어","19960010"
"빅 웨딩","20138884"
"빅 픽처","20134044"
"타이치0 3D","20139081"
"월세와 보증금","20122908"
"마스터 ","20138982"
"시간의 춤","20090786"
"9월이 지나면","20139545"
"남자들","20139544"
"라스트 엑소시즘: 잠들지 않는 영혼","20139222"
"심판","19998583"
"썬크림","20139551"
"대회전 ","20139550"
"껌 ","20138692"
"해독제는 없다","20139552"
"허창열씨 오구굿","20139569"
"바람이 지나는 길","20139562"
"달이 기울면","20139561"
"앱사피엔스","20139554"
"그림자","20128001"
"신세기 낭만시대","20139623"
"파편","20139624"
"난 널 알아","20139542"
"연인의 방 ","20129945"
"자기소개","20139492"
"48미터","20120801"
"""믿거나 말거나, 찬드라의 경우""","20120663"
"""쓰리, 몬스터 '컷'""","20139626"
"파란만장","20119502"
"에픽 : 숲속의 전설 ","20138202"
"소년과 양","20129150"
"동거","20138703"
"질식","20122068"
"인 더 하우스","20139121"
"비우","20130217"
"론 레인저","20136862"
"슈퍼피쉬 - 끝없는 여정","20138502"
"마취","20124250"
"숲","20127185"
"쿵후팬더: 영웅의 탄생","20139263"
"콩가네","20124031"
"설국열차","20126674"
"라 트라비아타","20139824"
"거짓말 섹스가 좋아","20130248"
"미스터 고","20124082"
"스타 탄생","19378023"
"퍼시픽 림","20136961"
"명왕성","20120110"
"구보씨 일보","20111695"
"핫 코너 ","20139941"
"불을 지펴라","20080053"
"테르마이 로마이","20139724"
"까밀 리와인드","20134068"
"우리는 그곳에 있었다","20126673"
"팔당 사람들 ","20138322"
"전망 좋은 방-맛있는 섹스","20123344"
"토니 스토리: 깡통제국의 비밀","20139141"
"코리올라누스: 세기의 라이벌","20139822"
"더 테러 라이브","20136052"
"카오스","20139625"
"바디 앤 안티바디","20130170"
"사이드 이펙트","20139723"
"우리동네 포르노스타","20130254"
"강선장","20134341"
"뜨거운 욕망","20130601"
"마지막 4중주","20139826"
"레드: 더 레전드","20136962"
"슬립리스 나이트","20139842"
"플레이스 비욘드 더 파인즈","20130421"
"극장판 도라에몽: 진구의 비밀도구 박물관","20139383"
"전망 좋은 차- 맛있는 섹스","20139441"
"그랑블루 리마스터링 감독판","20130252"
"터보","20137549"
"독짓는 늙은이","20081067"
"브로큰","20122230"
"페인리스","20130443"
"군사통제구역 팔이공지대","20130686"
"달리는 차은","20120726"
"숨바꼭질","20139862"
"질식","20139861"
"영춘권 무림 절대 고수","20130592"
"체인드","20138185"
"에어라인 플라이트","20130669"
"극장판 마법소녀 마도카 마기카(전편): 시작의 이야기","20130542"
"극장판 마법소녀 마도카 마기카(후편): 영원의 이야기","20130543"
"슈퍼쇼 4 3D","20130841"
"오케스트라의 소녀","20139823"
"몬테크리스토 백작","20130041"
"넥스트 투모로우","20130389"
"이고르와 학의 여행","20130801"
"나에게서 온 편지","20139825"
"더 울버린","20137121"
"꽃이 피다","20130089"
"매미가 울었다","20130184"
"더 빅 보이","20130453"
"신검전설","20136223"
"리포! 더 제네틱 오페라","20137441"
"메밀꽃 필 무렵","20122132"
"갯마을","19780033"
"친절한 금자씨","20050148"
"혼자여도 괜찮아","20130160"
"컴플라이언스","20130702"
"글래디에이터: 로마 영웅 탄생의 비밀 3D 확장 감독판","20130709"
"컴다운","20130423"
"마법천자문 - 1","20130283"
"애니메이션 그 이상","20130424"
"남자의 자리","20130187"
"나무의 시간","20138324"
"중화 명탐정","20131002"
"더 트랩: 난간 끝에 선 남자","20130710"
"더 패키지: 일급비밀","20131003"
"팡고고의 기원","20130326"
"맞춤희곡","20130375"
"SICAF2013 영화제 수상작","20130337"
"개구쟁이 스머프 2","20136761"
"누가 공정화를 죽였나?","20127189"
"개와 열쇠","20111070"
"나이아가라","19538021"
"숨바꼭질","20136049"
"꿈꿈","20137164"
"폭스파이어","20138481"
"슈퍼히어로","20139821"
"렛 미 아웃","20125232"
"노랑머리 - 플라스틱 섹스","20131084"
"감기","20124937"
"언어의 정원","20139083"
"죽지않아","20127587"
"멋진 하루","20081002"
"권법 쿵푸의 신","20131222"
"러블리 몰리","20131082"
"스톨른","20130251"
"뱀파이어와의 인터뷰 ","19940433"
"네 쌍둥이 자살","20110721"
"우리 엄마는 돌리파튼","20131081"
"은밀하게 위대하게 (확장판)","20131304"
"투 마더스","20130821"
"슈퍼윙스 3D","20130569"
"베이트","20130250"
"젊은 엄마","20131221"
"아티스트 봉만대","20131206"
"""패션, 위험한 열정""","20130541"
"세상의 끝까지 21일","20134061"
"명탐정 코난 : 수평선상의 음모","20058720"
"""가자, 장미여관으로""","20130662"
"비엔나전투 1683","20131301"
"영웅이 되고 싶은 남자","20131302"
"페이퍼보이: 사형수의 편지","20120464"
"스파이","20124086"
"신밧드의 7대 모험","20131165"
"포르노그래픽 러브","20131361"
"퍼시픽 모비딕","20131244"
"로잘린","20100576"
"나우 유 씨 미 : 마술사기단","20138881"
"라 당스","20130784"
"엘리시움","20137811"
"허풍","20130243"
"체리밤","20131303"
"R.I.P.D. : 알.아이.피.디.","20138421"
"의사 안중근","19720003"
"중경삼림","20071054"
"달의 애인들","20130567"
"더 팩트","20131083"
"식스 블릿츠: 분노의 추적","20131573"
"아듀 필리핀","20130568"
"사십구일째 날","20111060"
"미스체인지","20130706"
"드리프트","20130448"
"링컨","19398005"
"2 데이즈 인 뉴욕","20130703"
"잡스","20139265"
"드래곤볼Z : 신들의 전쟁","20131681"
"암살자","19698088"
"아름다운 이별은 없다","20138404"
"짚의 방패","20131202"
"장강7호 : 내친구 마법요정","20131582"
"비바 프랑스","20131204"
"일탈여행: 프라이빗 아일랜드","20131984"
"필라델피아 스토리","19408005"
"무사 4대 문파와의 혈투","20131923"
"개똥이","20120109"
"플란다스의 개","20000024"
"킬링시즌","20131203"
"몬스터 대학교","20135001"
"시에라 마드레의 보물","20080238"
"천안함 프로젝트","20137585"
"비련","19438010"
"블링 링","20130708"
"리칭의 여선생","19728178"
"파이란","20010036"
"해피엔드","19990053"
"짓","20122466"
"우리들의 헤어진 여자친구","20131692"
"장군의 아들 2","19910095"
"관음 - 욕망의 유희","20131823"
"정무문","19720061"
"바람이 분다","20132082"
"뫼비우스","20139461"
"악의교전","20131247"
"삼총사2013","20132081"
"할매-시멘트정원","20137561"
"편지","19970007"
"고스트 맘마","19960015"
"슈퍼배드 2","20122089"
"한국단편5","20132192"
"관상","20126091"
"콜드 워","20131713"
"황야의 결투","20101023"
"컨저링","20131381"
"불량경찰: 부정부패 소탕작전","20132164"
"오션스 일레븐","20020074"
"우리 선희","20137041"
"괜찮아 3반","20131261"
"섀도우 헌터스: 뼈의 도시","20129588"
"부에노스 아이레스에서 사랑에 빠질 확률","20131281"
"낭만파 남편의 편지","20125228"
"영자의 전성시대","19770051"
"시체 전문 처리반 - 스머글러","20131941"
"잔다라: 더 비기닝","20132241"
"섹슈얼 어딕션 : 꽃잎에 느껴지는 쾌락과 통증","20132461"
"더블샤크","20131401"
"단편경쟁 섹션1","20132341"
"탱고 위드 미","20130705"
"포가튼 : 잊혀진 소녀","20130667"
"단편경쟁 섹션 3","20132343"
"아유레디?","20138482"
"소원","20134582"
"비키니 대작전","20132721"
"감독특별전-남궁선","20132349"
"위 캔 두 댓!","20138583"
"중편초청 섹션 4","20132348"
"퍼시 잭슨과 괴물의 바다","20137562"
"중편초청 섹션 3","20132347"
"프리버즈: 밍쿠와 찌아의 도시 대탈출","20131001"
"베이타운 디스코","20132624"
"디지털 삼인삼색 2011: 어느 아침의 기억","20113797"
"배우특별전-어른들을 몰라요?","20132350"
"중편초청 섹션 1","20132345"
"내일을 향해 쏴라","19698020"
"가투의 연날리기","20135584"
"중편초청 섹션2","20132346"
"단편경쟁 섹션 4","20132344"
"단편경쟁 섹션2","20132342"
"<제7회 대단한 단편영화제 폐막작>","20132581"
"늑대인간","20132962"
"시네마 천국","19888010"
"애프터 루시아","20131691"
"러시 : 더 라이벌","20132120"
"아메리칸 배틀쉽","20132742"
"블루 재스민","20131541"
"오빠가 돌아왔다","20116046"
"무게","20124059"
"우수한국영화 외국어자막 추석상영기획전","20132641"
"알렉산더 : 절대 영웅의 탄생","20132963"
"내일의 팔도강산","19710073"
"007 제2편 : 위기일발","19638016"
"아브라함 링컨 VS 좀비 ","20132966"
"흐르는 강물을 어찌 막으랴","19860029"
"흑협","19960357"
"히든 카드","20131630"
"장희빈","19618014"
"화이: 괴물을 삼킨 아이","20123383"
"최시형 감독 특별전 ","20133145"
"원한의 거리에 눈이 내린다","19710075"
"깡철이","20123381"
"히어로","20136059"
"왕중왕","19618003"
"퍼펙트","20131241"
"춘향뎐(春香傳)","20000029"
"인디애니페스트2013-개막작","20133081"
"스트레인저 인사이드","20132881"
"프리즈너스","20130783"
"호비와 후후의 대모험: 무지개꽃을 구하라","20132381"
"투 타이거","20132087"
"9월 금요단편극장 - “3인 3색 女감독 열전”","20132828"
"왜 그랬던가","19750021"
"이로도리 인생2막","20131086"
"족보","19790050"
"낙동강은 흐르는가","19760004"
"속 연화","19740137"
"노다지","19618028"
"""인디애니페스트2013-스톱모션, 파급(波及) ""","20133021"
"""인디애니페스트2013-스톱모션, 발화""","20133065"
"씨받이","20080698"
"불의 딸","19830087"
"나비 품에서 울었다","19830012"
"복부인","19800047"
"바람같은 사나이","20133054"
"황야의 독수리","20133055"
"쇼를 사랑한 남자","20132481"
"벤다 빌릴리","20133413"
"블랙 가스펠","20131245"
"10월 단편 상상극장-제7회 대단한 단편영화제 수상작 모음","20133425"
